Product,Organic,Unit,Label,COO,Sales Order,Invoice #,Invoice Payment Status,Most Recent Invoice Paid Date,Sale Location,Sales Rep,Reqs. Date,Customer,Lot,Vendor,Source,Received Date,Use By Date,Pack Date,Lot Location,Quantity,Cost per Unit,Price per Unit,Total Cost,Total Sold Lot Expenses,Total Revenue,Total Profit $,Total Profit %
"Basil, Italian",false,10 Lb Carton,G115,,5195311,112847,Unpaid,,Mando's Trucking,Enrique Vazquez,05/05/2025,RATTO BROS INC,6564-BAS-1,#AGRPCS G115,PO #6564,05/09/2025,,,Mando's Trucking,56.00,22.50,28.00,1260.00,0.00,1568.00,308.00,19.64
"Basil, Italian",false,10 Lb Carton,G115,,5231995,112903,Unpaid,,Mando's Trucking,Enrique Vazquez,05/12/2025,RATTO BROS INC,6620-BAS-1,#AGRPCS G115,PO #6620,05/14/2025,,,Mando's Trucking,55.00,22.50,28.00,1237.50,0.00,1540.00,302.50,19.64
"Basil, Italian",false,10 Lb Carton,G115,,5269710,112955,Unpaid,,Mando's Trucking,Enrique Vazquez,05/27/2025,RATTO BROS INC,6714-BAS-1,#AGRPCS G115,PO #6714,05/27/2025,,,Mando's Trucking,56.00,20.00,28.00,1120.00,0.00,1568.00,448.00,28.57
"Basil, Italian",false,10 Lb Carton,G116,,5195311,112847,Unpaid,,Mando's Trucking,Enrique Vazquez,05/05/2025,RATTO BROS INC,6569-BAS-1,#ALAHAR G116,PO #6569,05/09/2025,,,Mando's Trucking,100.00,24.00,28.00,2400.00,0.00,2800.00,400.00,14.29
"Basil, Italian",false,10 Lb Carton,G116,,5231995,112903,Unpaid,,Mando's Trucking,Enrique Vazquez,05/12/2025,RATTO BROS INC,6621-BAS-1,#ALAHAR G116,PO #6621,05/14/2025,,,Mando's Trucking,50.00,24.00,28.00,1200.00,0.00,1400.00,200.00,14.29
"Basil, Italian",false,10 Lb Carton,G116,,5269710,112955,Unpaid,,Mando's Trucking,Enrique Vazquez,05/27/2025,RATTO BROS INC,6734-BAS-1,#ALAHAR G116,PO #6734,05/27/2025,,,Mando's Trucking,50.00,24.00,28.00,1200.00,0.00,1400.00,200.00,14.29
"Basil, Italian",false,10 Lb Carton,G124,,5195311,112847,Unpaid,,Mando's Trucking,Enrique Vazquez,05/05/2025,RATTO BROS INC,6561-BAS-1,#ARGOSA G124,PO #6561,05/09/2025,,,Mando's Trucking,56.00,21.00,28.00,1176.00,80.00,1568.00,312.00,19.90
"Basil, Italian",false,10 Lb Carton,G124,,5231995,112903,Unpaid,,Mando's Trucking,Enrique Vazquez,05/12/2025,RATTO BROS INC,6622-BAS-1,#ARGOSA G124,PO #6622,05/14/2025,,,Mando's Trucking,56.00,20.00,28.00,1120.00,80.00,1568.00,368.00,23.47
"Basil, Italian",false,10 Lb Carton,G124,,5269710,112955,Unpaid,,Mando's Trucking,Enrique Vazquez,05/27/2025,RATTO BROS INC,6711-BAS-2,#ARGOSA G124,PO #6711,05/28/2025,,,Mando's Trucking,56.00,20.00,28.00,1120.00,80.00,1568.00,368.00,23.47
"Basil, Italian",true,10X1 Lb Bag Carton,G115,,5191146,112840,Unpaid,,California Specialty,Alma Hinojos,05/01/2025,"CALALU, LLC (DBA CALIFORNIA SPECIALTY FARMS)",6534-BAS-1,#AGRPCS G115,PO #6534,05/01/2025,,,California Specialty,40.00,37.50,42.50,1500.00,0.00,1700.00,200.00,11.76
"Basil, Italian",false,10X1 Lb Bag Carton,G115,,5209408,112870,Unpaid,,Redmond Logistics,Enrique Vazquez,05/05/2025,"BAY AREA HERBS & SPECIALTIES, LLC",6565-BAS-1,#AGRPCS G115,PO #6565,05/07/2025,,,Redmond Logistics,20.00,20.00,25.00,400.00,0.00,500.00,100.00,20.00
"Basil, Italian",true,10X1 Lb Bag Carton,G115,MX,5211917,112875,Partially paid,2025-05-08,LV Fresh Produce Inc,Alma Hinojos,05/08/2025,"COOSEMANS D.C., INC",6572-BAS-1,#AGRPCS G115,PO #6572,05/08/2025,,,LV Fresh Produce Inc,56.00,30.00,35.00,1680.00,0.00,1960.00,280.00,14.29
"Basil, Italian",false,10X1 Lb Bag Carton,G115,,5225334,112897,Unpaid,,Redmond Logistics,Enrique Vazquez,05/08/2025,"BAY AREA HERBS & SPECIALTIES, LLC",6592-BAS-1,#AGRPCS G115,PO #6592,05/09/2025,,,Redmond Logistics,20.00,20.00,22.50,400.00,0.00,450.00,50.00,11.11
"Basil, Italian",true,10X1 Lb Bag Carton,G115,,5225346,112898,Unpaid,,Redmond Logistics,Enrique Vazquez,05/08/2025,"BAY AREA HERBS & SPECIALTIES, LLC",6592-BAS-2,#AGRPCS G115,PO #6592,05/09/2025,,,Redmond Logistics,20.00,25.00,27.50,500.00,0.00,550.00,50.00,9.09
"Basil, Italian",true,10X1 Lb Bag Carton,G115,,5239351,112910,Unpaid,,California Specialty,Alma Hinojos,05/12/2025,"CALALU, LLC (DBA CALIFORNIA SPECIALTY FARMS)",6605-BAS-1,#AGRPCS G115,PO #6605,05/12/2025,,,California Specialty,25.00,27.50,32.50,687.50,0.00,812.50,125.00,15.38
"Basil, Italian",true,10X1 Lb Bag Carton,G115,,5239986,112923,Unpaid,,Redmond Logistics,Enrique Vazquez,05/12/2025,"BAY AREA HERBS & SPECIALTIES, LLC",6627-BAS-1,#AGRPCS G115,PO #6627,05/13/2025,,,Redmond Logistics,20.00,25.00,27.50,500.00,0.00,550.00,50.00,9.09
"Basil, Italian",true,10X1 Lb Bag Carton,G115,MX,5248778,112932,Unpaid,,LV Fresh Produce Inc,Alma Hinojos,05/15/2025,"COOSEMANS D.C., INC",6640-BAS-1,#AGRPCS G115,PO #6640,05/15/2025,,,LV Fresh Produce Inc,56.00,30.00,35.00,1680.00,0.00,1960.00,280.00,14.29
"Basil, Italian",false,10X1 Lb Bag Carton,G115,,5253894,112934,Unpaid,,Direct Shipment,Gerardo Zuniga,05/14/2025,*THE GROWERS CONNECTION,6644-BAS-2,#AGRPCS G115,PO #6644,05/14/2025,,,Direct Shipment,56.00,4.00,5.00,224.00,0.00,280.00,56.00,20.00
"Basil, Italian",true,10X1 Lb Bag Carton,G115,,5253996,112935,Partially paid,2025-05-16,California Specialty,Alma Hinojos,05/16/2025,"CALALU, LLC (DBA CALIFORNIA SPECIALTY FARMS)",6646-BAS-1,#AGRPCS G115,PO #6646,05/16/2025,,,California Specialty,30.00,27.50,30.00,825.00,0.00,900.00,75.00,8.33
"Basil, Italian",true,10X1 Lb Bag Carton,G115,,5254974,112941,Unpaid,,Redmond Logistics,Enrique Vazquez,05/15/2025,"BAY AREA HERBS & SPECIALTIES, LLC",6651-BAS-1,#AGRPCS G115,PO #6651,05/16/2025,,,Redmond Logistics,20.00,24.00,27.50,480.00,0.00,550.00,70.00,12.73
"Basil, Italian",false,10X1 Lb Bag Carton,G115,,5270835,112958,Unpaid,,Redmond Logistics,Enrique Vazquez,05/19/2025,"BAY AREA HERBS & SPECIALTIES, LLC",6670-BAS-1,#AGRPCS G115,PO #6670,05/20/2025,,,Redmond Logistics,40.00,20.00,22.50,800.00,0.00,900.00,100.00,11.11
"Basil, Italian",true,10X1 Lb Bag Carton,G115,,5270872,112960,Unpaid,,Redmond Logistics,Enrique Vazquez,05/19/2025,"BAY AREA HERBS & SPECIALTIES, LLC",6670-BAS-2,#AGRPCS G115,PO #6670,05/20/2025,,,Redmond Logistics,10.00,25.00,27.50,250.00,0.00,275.00,25.00,9.09
"Basil, Italian",true,10X1 Lb Bag Carton,G115,MX,5270908,112964,Partially paid,2025-05-19,California Specialty,Alma Hinojos,05/19/2025,"CALALU, LLC (DBA CALIFORNIA SPECIALTY FARMS)",6674-BAS-1,#AGRPCS G115,PO #6674,05/19/2025,,,California Specialty,25.00,27.50,30.00,687.50,0.00,750.00,62.50,8.33
